SONG METADATA
Name:,MakelaraVicharamu
Ragam:,Ravicandrika (Mēḷa 28)
Composer:,Thyagaraja
Tala:,8/4,Eduppu:,7
BPM:,120,Arohana:,S R2 G3 M1 D2 Ṡ
Avarohana:,Ṡ N2 D2 M1 G3 R2 S

SECTION: Pallavi (P.1),ROW TYPE,CONTENT

SWARA,",",",",",",",",",",",",M,",",",",",",G,",",",",",",M,",",G,",",",",",",",",",",G,R,G,R,S,",",",",",",R,","
LYRIC,,,,,,,,,,,mā,,,,kē,,,,,,,,la,,,,rā,,,,,
SWARA,G,",",",",",",",",",",M,",",",",",",D,",",",",",",M,",",G,",",",",",",",",",",R,G,M,G,G,R,S,",",R,","
LYRIC,,,,,,,,,,,,,,,,,mā,,,,,,kē,,,,,,la,,,
SWARA,G,",",",",",",",",",",M,",",",",",",D,",",",",",",N,",",N,D,D,",",M,",","G,*",",M*","G,*",",M*",G,R,S,",",R,","
LYRIC,,,rā,,,,mā,,,,,,kē,,,,,,la,,,,rā,,,,vi,,cā,,,
SWARA,G,",",",",",",",",",",M,",",M,",",D,",",",",",",N,",",N,D,D,",",",",",",D,",",Ṡ,",",Ṡ,",",Ṡ,N,D,","
LYRIC,,,,,,,ma,,ru,,,,gan,,,,na,,,,śrī,,,,,,,,rā,,,
SWARA,Ṡ,N,N,D,D,",",M,",",",",",",D,",",",",",",Ṡ,",",D,Ṡ,R,Ġ,Ṁ,Ġ,Ṙ,Ṡ,N,D,M,M,G,R,S,R
LYRIC,macan,,,,,,mā,,,,,,kē,,,,,,la,,,,rā,,,,,,,,vi,
SWARA,G,",",",",",",",",",",M,G,M,",",D,",",",",",",Ṡ,N,N,D,D,",",",",D,",",Ṡ,",",Ṡ,",",Ṡ,N,N,D,MD*
LYRIC,cā,,,,,,ma,,ru,,,,gan,,,,na,,śrī,,,,,,,,,rā,,,,macan
SWARA,"N,*","D,*",ṘṠ*,Ṡ,N,","
LYRIC,,,,,dra,

SECTION: Anupallavi (A.1),ROW TYPE,CONTENT

SWARA,",",",",",",",",",",",",M,",",N,",",N,D,D,",",D,",",Ṡ,",",",",",",",",Ṙ,Ġ,Ṁ,Ġ,Ṙ,",",",",",",Ġ,Ṁ,Ġ
LYRIC,,,,,,,,,sā,,,,kē,,,,,,,ta,,,,,rā,,,,,ja,,
SWARA,Ṙ,Ṡ,",",",",",",D,Ṡ,",",N,N,D,D,",",D,",",Ṡ,",",M,D,Ṡ,",",Ṙ,Ġ,Ṁ,Ġ,Ṙ,Ṙ,",",",",Ṙ,Ġ,Ṁ
LYRIC,,,,,ku,sā,,,,kē,,,,ta,,rā,,,,,,,ja,,,,,,,,ku,
SWARA,Ġ,Ṙ,Ṡ,",",",",D,",",Ṡ,",",Ṡ,N,N,",",D,",",M,",",",",D,",",",",N,",",",",",",",",",",Ṡ,N,N,",",D
LYRIC,,,mā,,,sad,,,,bha,,,,kta,,,,,mandā,,,,,,,ra,,,,,,śrī
SWARA,",",Ṡ,Ṡ,N,N,D,D,",",D,Ṙ,Ṙ,Ṙ,Ṡ,Ṙ,Ṙ,Ṙ,Ṡ,N,N,",",D,",",D,M,",",D,",",",",N,",",D,","
LYRIC,,,,,,ka,,,sad,,,,,bha,,,,ktamandā,,,,,,,,ra,,,,,,
SWARA,Ṙ,Ṡ,Ṡ,N,N,D,Ṡ,N,N,D,",",D,","
LYRIC,,,,,,śrī,,,,ka,,,

SECTION: Charaṇam (C.1),ROW TYPE,CONTENT

SWARA,",",",",",",",",",",",",M,",",M,",",M,",",",",",",M,",",M,G,G,",",",",",",G,",",M,",",D,",",",",",",Ṡ,N
LYRIC,,,,,,,,,ja,,,,ta,,gūrc,,,,,,ci,,,,nā,,,,,,,
SWARA,N,D,D,",",",",",",",",D,",",Ṡ,N,N,D,D,",",M,",",G,M,G,R,S,",",M,G,",",M,D,",",",",",",Ṡ
LYRIC,,,ta,,,,ka,ja,,,ga,,,mel,,,,,la,,,me,,,cca,,,,,ga,,
SWARA,N,N,D,",",D,",",","
LYRIC,ka,,ra,,,,muna

