Sruthi,Note,Variant,MIDI,Frequency (Hz),Western Note,Octave
C,S,Plain (C4),60,261.63,C4,4
C,Ṡ,Dotted Above (C5),72,523.26,C5,5
C,Ṣ,Dotted Below (C3),48,130.81,C3,3
C,R1,Plain (C4),61,277.19,C#4,4
C,Ṙ1,Dotted Above (C5),73,554.37,C#5,5
C,Ṛ1,Dotted Below (C3),49,138.59,C#3,3
C,R2,Plain (C4),62,293.67,D4,4
C,Ṙ2,Dotted Above (C5),74,587.34,D5,5
C,Ṛ2,Dotted Below (C3),50,146.83,D3,3
C,R3,Plain (C4),63,311.13,D#4,4
C,Ṙ3,Dotted Above (C5),75,622.26,D#5,5
C,Ṛ3,Dotted Below (C3),51,155.57,D#3,3
C,G1,Plain (C4),62,293.67,D4,4
C,Ġ1,Dotted Above (C5),74,587.34,D5,5
C,G̣1,Dotted Below (C3),50,146.83,D3,3
C,G2,Plain (C4),63,311.13,D#4,4
C,Ġ2,Dotted Above (C5),75,622.26,D#5,5
C,G̣2,Dotted Below (C3),51,155.57,D#3,3
C,G3,Plain (C4),64,329.63,E4,4
C,Ġ3,Dotted Above (C5),76,659.27,E5,5
C,G̣3,Dotted Below (C3),52,164.82,E3,3
C,M1,Plain (C4),65,349.23,F4,4
C,Ṁ1,Dotted Above (C5),77,698.47,F5,5
C,Ṃ1,Dotted Below (C3),53,174.62,F3,3
C,M2,Plain (C4),66,370.0,F#4,4
C,Ṁ2,Dotted Above (C5),78,740.0,F#5,5
C,Ṃ2,Dotted Below (C3),54,185.0,F#3,3
C,P,Plain (C4),67,392.0,G4,4
C,Ṗ,Dotted Above (C5),79,784.0,G5,5
C,P̣,Dotted Below (C3),55,196.0,G3,3
C,D1,Plain (C4),68,415.31,G#4,4
C,Ḋ1,Dotted Above (C5),80,830.62,G#5,5
C,Ḍ1,Dotted Below (C3),56,207.66,G#3,3
C,D2,Plain (C4),69,440.01,A4,4
C,Ḋ2,Dotted Above (C5),81,880.01,A5,5
C,Ḍ2,Dotted Below (C3),57,220.0,A3,3
C,D3,Plain (C4),70,466.17,A#4,4
C,Ḋ3,Dotted Above (C5),82,932.34,A#5,5
C,Ḍ3,Dotted Below (C3),58,233.09,A#3,3
C,N1,Plain (C4),68,415.31,G#4,4
C,Ṅ1,Dotted Above (C5),80,830.62,G#5,5
C,Ṇ1,Dotted Below (C3),56,207.66,G#3,3
C,N2,Plain (C4),69,440.01,A4,4
C,Ṅ2,Dotted Above (C5),81,880.01,A5,5
C,Ṇ2,Dotted Below (C3),57,220.0,A3,3
C,N3,Plain (C4),70,466.17,A#4,4
C,Ṅ3,Dotted Above (C5),82,932.34,A#5,5
C,Ṇ3,Dotted Below (C3),58,233.09,A#3,3
C,Ṙ,Dotted Above (C5),73,554.37,C#5,5
C,Ṛ,Dotted Below (C3),49,138.59,C#3,3
C,Ġ,Dotted Above (C5),76,659.27,E5,5
C,G̣,Dotted Below (C3),52,164.82,E3,3
C,Ṁ,Dotted Above (C5),77,698.47,F5,5
C,Ṃ,Dotted Below (C3),53,174.62,F3,3
C,Ḋ,Dotted Above (C5),81,880.01,A5,5
C,Ḍ,Dotted Below (C3),57,220.0,A3,3
C,Ṅ,Dotted Above (C5),82,932.34,A#5,5
C,Ṇ,Dotted Below (C3),58,233.09,A#3,3
C,Ṡ,Dotted Above (C5),72,523.26,C5,5
C,Ṣ,Dotted Below (C3),48,130.81,C3,3
C,Ṗ,Dotted Above (C5),79,784.0,G5,5
C,P̣,Dotted Below (C3),55,196.0,G3,3
C#,S,Plain (C4),61,277.18,C#4,4
C#,Ṡ,Dotted Above (C5),73,554.36,C#5,5
C#,Ṣ,Dotted Below (C3),49,138.59,C#3,3
C#,R1,Plain (C4),62,293.66,D4,4
C#,Ṙ1,Dotted Above (C5),74,587.32,D5,5
C#,Ṛ1,Dotted Below (C3),50,146.83,D3,3
